        hue,r,g,b,hex,name
32.31,143,137,130,8f8982,elephant-skin
20,138,126,120,8a7e78,cinder
20,130,126,124,827e7c,steeple-gray
144,186,191,188,babfbc,metal
90,185,188,182,b9bcb6,blue-fox
132,181,186,182,b5bab6,storm-gray
130,169,175,170,a9afaa,pigeon
165,171,175,174,abafae,mirage-gray
165,168,176,174,a8b0ae,puritan-gray
359,164,153,158,9.99E+100,wrought-iron
114.29,139,158,137,a49e9e,opal-gray
280,142,140,143,8b8c89,wild-dove
118.57,104,145,103,8e918f,neutral-gray
150,101,103,102,686767,gargoyle
270,104,100,108,656466,smoked-pearl
116.67,92,109,91,686d6c,sedona-sage
359,202,93,194,5c5d5b,gunmetal
111.82,159,197,153,cac5c2,wind-chime
115.38,108,156,104,9f9c99,paloma
359,114,104,112,6c6868,charcoal-gray
109.09,102,111,100,726f70,steel-gray
150,95,101,98,666564,pewter
130,70,94,74,5f5e62,castlerock
359,160,67,152,46434a,nine-iron
110.77,131,153,127,a09998,ash
359,132,127,131,837f7f,cloudburst
122.22,103,130,104,848283,frost-gray
48,98,97,93,676168,excalibur
20,95,93,92,625d5d,dark-gull-gray
95.45,74,87,65,5f575c,rabbit
359,128,63,99,4a3f41,shale
91.58,91,111,73,806f63,fossil
6.92,104,81,78,5b5149,major-brown
49.57,94,90,71,685a4e,chocolate-chip
9.6,104,83,79,5e5347,canteen
38,105,94,75,685e4f,stone-gray
65.14,91,94,59,695e4b,capers
23.33,90,79,72,5b4f3b,beech
80.77,74,83,57,5a5348,tarmac
27.69,72,65,59,4a4139,wren
359,74,65,67,48413b,black-olive
47.14,68,65,54,44413c,black-ink
56.47,59,58,42,3b3a36,peat
176.13,38,100,96,262c2a,jet-set
359,115,91,92,736460,iron
8.78,98,63,57,625b5c,plum-kitten
2.4,72,48,47,483f39,turkish-coffee
360,59,53,53,3b302f,black-coffee
359,60,53,54,3c3535,after-dark
165,58,62,61,3a3536,licorice
26.67,65,55,47,413e3d,raven
240,45,45,59,2d2c2f,jet-black
359,57,42,48,39373b,phantom
143.08,43,56,48,2b2c30,stretch-limo
359,47,40,45,2f2d30,moonless-night
125.14,41,216,56,292a2d,caviar
116.73,54,210,45,363838,pirate-black
177.8,40,204,198,28282d,anthracite
24.59,244,208,183,f4d8c6,vanilla-cream
21,235,196,175,ebd2b7,dawn
12,229,185,174,e5ccaf,gray-sand
12.5,238,181,166,eed0ae,autumn-blonde
21.89,226,179,152,e2c4a6,apricot-illusion
35.34,216,186,143,d8b998,mellow-buff
17.84,218,166,144,dab58f,sheepskin
15,204,165,152,ccb390,almond-buff
15.35,213,149,127,d5ba98,beige
9.73,204,142,130,cca67f,sand
12.59,197,133,116,c5a582,latte
50.77,182,170,104,b69574,tan
43.9,185,163,103,b98e68,doe
